sample	chromosome	start	end	probes	log2
1	11	76650000	76750000	6	0.3903
1	11	76770000	77230000	24	1.2867
1	11	77250000	79510000	113	0.9777
1	11	79530000	80070000	28	1.7207
1	11	80090000	80310000	12	1.2888
1	11	80330000	80610000	15	1.8592
1	11	80630000	80970000	18	-1.418
1	11	80990000	81290000	16	-0.1053
1	11	81310000	81390000	5	1.0203
1	11	81410000	83630000	111	0.3875
1	11	83650000	84070000	22	0.9189
1	11	84090000	84330000	13	-0.0823
1	11	84350000	85310000	46	0268
1	11	85330000	86530000	59	0.9102
1	11	86550000	87110000	29	1.2184
1	11	87130000	87470000	18	0.9326
1	11	87490000	88290000	38	1.8612
1	11	88310000	89470000	59	1.4256
1	11	89830000	90090000	14	1.0324
1	11	90110000	90610000	26	1.3933
1	11	90630000	91630000	51	1.1093
1	11	91650000	124850000	1648	-0415
1	11	124870000	125510000	33	-0.0813
1	11	125530000	125650000	7	-0.9102
1	11	125670000	129690000	201	-1.381
1	11	129710000	129830000	7	0.0368
1	11	129850000	133530000	185	-1.4764
1	11	133550000	133710000	9	0.0067
1	11	133730000	133990000	14	-1.2566
1	11	134010000	134250000	13	-0.2656
1	11	134270000	134930000	34	-1.4863
1	12	170000	34550000	1701	-0244
1	12	37870000	41650000	162	0.1876
1	12	41670000	52610000	545	-0.2865
1	12	52630000	53230000	31	0.1455
1	12	53250000	60190000	344	-0.2472
1	12	60210000	99390000	1948	-0.0632
1	12	99410000	99810000	21	-0.3512
1	12	99830000	100090000	14	-1.83
1	12	100110000	100350000	13	-0.7151
1	12	100370000	100750000	20	0.2881
1	12	100770000	114830000	698	-0.0642
1	12	114850000	133490000	917	-0.1442
1	12	133510000	133830000	17	-2699
1	13	19270000	20050000	40	0.169
1	13	20070000	115090000	4692	-0.0925
1	14	19090000	19110000	2	0.6811
1	14	19270000	25130000	250	-0.355
1	14	25150000	38050000	645	-0721
1	14	38070000	72150000	1697	-0.0457
1	14	72170000	102670000	1519	0.3015
1	14	102690000	102970000	15	0.6502
1	14	102990000	106330000	164	0.2903
1	14	106350000	107270000	47	0605
1	15	20070000	22570000	35	0.6546
1	15	22590000	31350000	349	-0.1092
1	15	31370000	36830000	245	-0.2759
1	15	36850000	40270000	172	0.0021
1	15	40290000	40790000	26	0.3136
1	15	40810000	52390000	572	-0.0405
1	15	52410000	53410000	50	0.3387
1	15	53430000	75950000	1118	-0.0445
1	15	75970000	76090000	7	0.689
1	15	76110000	102390000	1266	-0.0498
1	16	90000	15050000	724	-0.1503
1	16	15070000	15630000	15	0.1102
1	16	15650000	22430000	265	0241
1	16	22630000	22710000	5	1.4532
1	16	22730000	31950000	416	0.4972
1	16	32410000	33610000	15	1.2198
1	16	33630000	46550000	37	0.4786
1	16	46570000	67070000	1019	0.3286
1	16	67090000	70830000	181	0.1997
1	16	70850000	71190000	17	-0.9112
1	16	71210000	77730000	323	0.2657
1	16	77750000	78310000	29	0.4863
1	16	78330000	78650000	17	-0.1233
1	16	78670000	78790000	7	-0.6211
1	16	78810000	90150000	562	-0.0797
1	17	10000	15310000	758	-0.6065
1	17	15330000	37370000	840	-0.4648
1	17	37390000	37630000	13	2701
1	17	37650000	38130000	25	4.9868
1	17	38150000	39770000	81	-0.256
1	17	39790000	47210000	339	-0.4949
1	17	47230000	48270000	53	2.4805
1	17	48290000	49350000	54	-0.4732
1	17	49370000	49690000	17	0.0029
1	17	49710000	51910000	110	-0.6067
1	17	51930000	52810000	45	0.3008
1	17	52830000	53450000	32	0.6847
1	17	53470000	54950000	75	0.3025
1	17	54970000	56130000	58	0842
1	17	56150000	57490000	68	0.2902
1	17	57510000	57650000	8	0.8869
1	17	57690000	58730000	48	1732
1	17	58750000	59190000	23	0.6424
1	17	59210000	60750000	76	0.9248
1	17	60770000	63070000	107	0.6331
1	17	63090000	63470000	20	-0.4075
1	17	63490000	64450000	49	-0.1321
1	17	64470000	64890000	22	1.2732
1	17	64910000	65350000	23	-0.078
1	17	65370000	66590000	62	1.7432
1	17	66610000	67050000	23	0.3924
1	17	67070000	67310000	13	1.4495
1	17	67330000	67490000	9	1.0635
1	17	67510000	72890000	268	-0.0766
1	17	72910000	73950000	53	1.8112
1	17	73970000	81090000	348	0.2925
1	17	81110000	81150000	3	-1.1061
1	18	70000	350000	13	-0402
1	18	370000	2530000	109	-1.4006
1	18	2550000	3270000	37	-0.6725
1	18	3290000	5830000	128	-1.4642
1	18	5850000	6170000	17	-0908
1	18	6190000	9550000	168	-0.0836
1	18	9570000	11950000	119	-0653
1	18	11970000	18630000	142	-0.3811
1	18	18650000	27190000	426	-0801
1	18	27210000	27850000	33	0.3196
1	18	27870000	37410000	475	0.6441
1	18	37430000	73950000	1807	-0835
1	18	73970000	77930000	194	0.2942
1	18	77950000	78010000	4	-0.2444
1	19	270000	15670000	753	-0.1571
1	19	15690000	17270000	80	0.1874
1	19	17290000	19850000	129	-0.1589
1	19	19870000	28550000	186	0.1793
1	19	28570000	29830000	64	-0.1063
1	19	29850000	30930000	55	1.9268
1	19	30950000	31650000	36	1.256
1	19	31670000	32550000	45	2.1739
1	19	32570000	33170000	31	1.8989
1	19	33190000	36490000	165	-0133
1	19	36510000	37470000	47	-0.1571
1	19	37490000	38250000	38	0.7146
1	19	38270000	39250000	50	1.2834
1	19	39270000	40330000	54	1.0862
1	19	40350000	40490000	7	0.8057
1	19	40510000	42990000	124	-0.4541
1	19	43010000	43850000	43	-0.0263
1	19	43870000	52770000	430	-0142
1	19	52790000	53990000	61	-0.0446
1	19	54010000	59090000	253	-0.4531
1	20	70000	14670000	728	0.4171
1	20	14690000	14810000	7	0.295
1	20	14830000	15050000	12	-0.3863
1	20	15070000	48690000	1497	0.2806
1	20	48710000	49450000	38	0.8176
1	20	49470000	52390000	147	0.1898
1	20	52410000	62890000	517	0.3083
1	21	9430000	9930000	11	-3.9435
1	21	10430000	14950000	29	0.1682
1	21	15070000	15190000	5	-4.9524
1	21	15210000	15430000	11	0.2697
1	21	15470000	29390000	693	-0.0559
1	21	29410000	45830000	810	0.3425
1	21	45850000	46130000	15	0.6877
1	21	46150000	48090000	97	0.3482
1	22	16930000	17270000	14	-0.6997
1	22	17290000	51170000	1623	-0.0807
1	23	70000	2330000	93	-1.0436
1	23	2350000	71470000	3167	-096
1	23	71490000	73470000	88	-0.0238
1	23	73490000	76450000	148	-0.6372
1	23	76470000	76950000	23	-0.0632
1	23	76970000	77770000	41	-0.635
1	23	77790000	78330000	28	-0.0861
1	23	78350000	80310000	99	-0.619
1	23	80330000	81070000	38	-0.1369
1	23	81090000	84430000	167	-0.609
1	23	84450000	85270000	42	-0.1069
1	23	85290000	85790000	26	-0.6091
1	23	85810000	86630000	42	-0.0475
1	23	86650000	90150000	109	-0.6628
1	23	90290000	90850000	21	0.0123
1	23	90970000	100830000	440	-0843
1	23	100850000	101350000	26	0.2916
1	23	101370000	112670000	551	-0.0675
1	23	112690000	113090000	21	-0906
1	23	113110000	113730000	29	-0.0879
1	23	113750000	114830000	55	-0634
1	23	114850000	116510000	78	-0.0057
1	23	116530000	117010000	25	-0687
1	23	117030000	118370000	67	-0.1271
1	23	118390000	134290000	781	-0.6041
1	23	134310000	155230000	980	0.2936
1	24	2670000	59030000	596	-4.984
10	1	750000	15550000	682	-0.4648
10	1	15570000	17750000	97	-0.0408
10	1	17770000	19410000	83	-0.6025
10	1	19430000	19610000	10	0.8237
10	1	19630000	24250000	231	-0.2848
10	1	24270000	24350000	5	-4.7724
10	1	24370000	37950000	667	-0.3489
10	1	37970000	95230000	2837	-0.014
10	1	95250000	119910000	1200	-0.4211
10	1	119930000	143530000	45	0.0252
10	1	144010000	146590000	41	0.8833
10	1	146610000	148550000	47	-0.1332
10	1	149050000	149230000	10	1.3583
10	1	149250000	186430000	1821	0.1092
10	1	186450000	195650000	461	-0.2258
10	1	195670000	241490000	2231	0.0659
10	1	241510000	242270000	38	0.6894
10	1	242290000	249210000	324	-0.003
10	2	30000	6790000	329	0.1724
10	2	6810000	30030000	1154	0.3022
10	2	30050000	44210000	703	0489
10	2	44230000	75970000	1579	0.3108
10	2	75990000	90230000	608	0.0787
10	2	90250000	91930000	5	1.9328
10	2	91950000	131910000	1666	-0.0384
10	2	131930000	132270000	13	0.9644
10	2	132290000	146910000	717	-0.0284
10	2	146950000	181370000	1702	0.3438
10	2	181390000	189790000	420	-0.0437
10	2	189810000	191950000	106	0.3907
10	2	191970000	196390000	221	-0.1638
10	2	196410000	198430000	102	0.2168
10	2	198450000	201670000	161	-0.1251
10	2	201690000	204070000	117	0.3174
10	2	204090000	237770000	1673	-0.0238
10	2	237790000	239370000	78	-0739
10	2	239390000	241370000	97	-1.3389
10	2	241390000	243050000	83	-0.4859
10	3	70000	9390000	464	0.2201
10	3	9410000	10190000	40	0.8445
10	3	10210000	28570000	913	0.2999
10	3	28590000	53930000	1264	-0.2903
10	3	53950000	75570000	1074	-0512
10	3	75590000	75790000	10	-4.4072
10	3	75810000	83550000	385	-0643
10	3	83570000	171490000	4212	0.3174
10	3	171510000	182510000	547	-0.4709
10	3	182530000	185430000	146	-0.0589
10	3	185450000	197850000	612	-0.4162
10	4	50000	410000	18	0583
10	4	450000	9130000	425	-0.4375
10	4	9150000	9390000	5	-3.4593
10	4	9410000	48470000	1941	-08
10	4	48490000	48630000	8	0.6512
10	4	48650000	68290000	795	-0.1574
10	4	68310000	70930000	131	0.328
10	4	70950000	76390000	267	-0.0428
10	4	76410000	80210000	186	0.3836
10	4	80230000	191030000	5504	-0.4909
10	5	30000	10270000	510	0509
10	5	10290000	10610000	16	1.1899
10	5	10630000	16110000	274	032
10	5	16130000	23190000	338	0.1345
10	5	23210000	30250000	351	0.3261
10	5	30270000	50190000	801	0.0657
10	5	50210000	54390000	208	-0695
10	5	54410000	60190000	289	-0.0868
10	5	60210000	68350000	406	-0.6097
10	5	68370000	70930000	39	0.2878
10	5	70950000	148370000	3846	-06
10	5	148390000	151250000	143	-0.1735
10	5	151270000	165850000	721	-0.6252
10	5	165870000	175310000	472	0.2377
10	5	175330000	180710000	241	0.4598
10	6	170000	190000	2	-5
10	6	210000	14870000	732	0.2752
10	6	14890000	24110000	457	-0.0709
10	6	24130000	29690000	265	0.4178
10	6	29710000	29930000	11	1.3664
10	6	29950000	41270000	559	0.3702
10	6	41290000	57470000	803	-0.2785
10	6	57490000	69630000	431	-0525
10	6	69650000	77070000	367	-0.2667
10	6	77090000	79310000	112	-0.8079
10	6	79330000	116730000	1854	-0.389
10	6	116750000	122210000	271	0.0405
10	6	122230000	126190000	198	-0.4745
10	6	126210000	137750000	572	0.0468
10	6	137770000	145170000	369	0.6096
10	6	145190000	152830000	381	0.014
10	6	152850000	163990000	550	-0.3701
10	6	164010000	164970000	49	-2.7924
10	6	164990000	170890000	286	-0.3873
10	7	50000	5930000	290	0.2893
10	7	6030000	6870000	39	0.9525
10	7	6890000	31850000	1247	0.3642
10	7	31870000	33430000	78	0.9075
10	7	33450000	55570000	1088	0.3359
10	7	55590000	66470000	241	0.6539
10	7	66490000	88690000	1012	0.3038
10	7	88710000	92930000	209	0.6445
10	7	92950000	97410000	223	0.1002
10	7	97430000	99590000	106	0.8582
10	7	99610000	121810000	1087	0.6021
10	7	121830000	127470000	283	-0.0393
10	7	127490000	131390000	188	0.6701
10	7	131410000	135170000	186	0.3266
10	7	135190000	135730000	28	1.2676
10	7	135750000	138970000	160	0.4113
10	7	138990000	144970000	267	0.2582
10	7	144990000	146430000	73	-0.1144
10	7	146450000	152090000	276	0.3701
10	7	152110000	153810000	81	-0.0515
10	7	153870000	159110000	255	0.2697
10	8	190000	10450000	457	0.418
10	8	10470000	16870000	295	-0.2448
10	8	16890000	17970000	54	0.3421
10	8	17990000	27230000	460	-0.179
10	8	27250000	29130000	95	0.2937
10	8	29150000	31170000	101	-0.478
10	8	31190000	36650000	273	-0.8682
10	8	36670000	38070000	71	-0.4484
10	8	38090000	38470000	20	1.645
10	8	38490000	38610000	7	0.7091
10	8	38630000	39230000	31	0.1254
10	8	39250000	39370000	7	-2.6991
10	8	39390000	39870000	25	0.0465
10	8	39890000	41350000	74	-0.6899
10	8	41370000	43390000	102	0.0624
10	8	43410000	66550000	948	-0146
10	8	66570000	69670000	155	-0.1921
10	8	69690000	83610000	693	0.0564
10	8	83630000	94290000	520	0.3909
10	8	94310000	98510000	210	-0.3334
10	8	98530000	110370000	588	0.1439
10	8	110390000	118450000	403	0.6701
10	8	118470000	134490000	800	0.3857
10	8	134510000	146290000	573	0.2815
10	9	210000	14430000	707	0.7443
10	9	14450000	23850000	467	0.3168
10	9	23870000	25150000	65	0.122
10	9	25170000	32230000	352	-0.1237
10	9	32250000	91310000	1344	0.0619
10	9	91330000	94850000	163	0.3188
10	9	94870000	103390000	415	0.4843
10	9	103410000	114110000	531	0.2351
10	9	114130000	114550000	22	0.8587
10	9	114570000	119950000	267	0.3305
10	9	119970000	128010000	402	0.023
10	9	128030000	132490000	223	0.3198
10	9	132510000	135670000	152	-0.4545
10	9	135690000	140510000	233	0.2558
10	9	140530000	141070000	25	0.672
10	10	110000	14090000	696	-0257
10	10	14110000	46210000	1372	-0.0644
10	10	46970000	47150000	10	1.0855
10	10	47550000	67150000	870	-0.1111
10	10	67170000	67770000	31	0928
10	10	67790000	69530000	87	-0.2326
10	10	69550000	73170000	180	0.1094
10	10	73190000	73590000	21	-0.4782
10	10	73610000	73810000	11	-1.4959
10	10	73830000	74470000	33	-0.2107
10	10	74490000	77490000	147	0.3606
10	10	77510000	78270000	39	0.1208
10	10	78290000	79330000	52	-0.3434
10	10	79350000	79970000	31	0682
10	10	79990000	88370000	407	-0.6084
10	10	88390000	91650000	146	-0.2855
10	10	91670000	92410000	38	-1.0569
10	10	92430000	106050000	680	-0.3454
10	10	106070000	115670000	479	-0.6561
10	10	115690000	115770000	5	-3.4323
10	10	115790000	121510000	286	-0.4952
10	10	121530000	135430000	676	0.2209
10	11	210000	8990000	421	-0.7317
10	11	9010000	20670000	581	-0.3789
10	11	20690000	21990000	66	-0.7869
10	11	22010000	26130000	205	0.0883
10	11	26150000	60970000	1492	0.3355
10	11	61030000	67330000	316	0.6404
10	11	67350000	67710000	16	-0.221
10	11	67730000	68390000	33	0.4933
10	11	68410000	71070000	128	-0.0465
10	11	71090000	72250000	53	0.2238
10	11	72270000	72870000	31	0.6341
10	11	72890000	76970000	201	0.1629
10	11	76990000	80770000	189	-0.081
10	11	80790000	81970000	60	-0.7328
10	11	81990000	84550000	128	-0.0333
10	11	84570000	85170000	29	-1.1826
10	11	85210000	98050000	612	-0.0249
10	11	98070000	100410000	118	-1.2153
10	11	100430000	104890000	221	0.1182
10	11	104910000	104990000	5	1.724
